Abilities,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fighting,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Alolan Form,Att,BMI,BST,Catch Rate,Def,Experience to level 100,Experience type,Final Evolution,Galarian Form,Generation,HP,Height,Legendary,Mean,Mega Evolution,Name,Number,Spa,Spd,Spe,Standard Deviation,Type 1,Type 2,Weight,_id
"['Chlorophyll', 'Overgrow']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,49,14.1,318,45,49,1059860,Medium Slow,0.0,0.0,1.0,45,0.7,0.0,53.0,0.0,Bulbasaur,1,65,65,45,8.640987597877146,Grass,Poison,6.9,635f06c6d0384d8adc85ceb7
"['Chlorophyll', 'Overgrow']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,62,13.0,405,45,63,1059860,Medium Slow,0.0,0.0,1.0,60,1.0,0.0,67.5,0.0,Ivysaur,2,80,80,60,8.902246907382429,Grass,Poison,13.0,635f06c6d0384d8adc85ceb8
"['Chlorophyll', 'Overgrow']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,82,25.0,525,45,83,1059860,Medium Slow,1.0,0.0,1.0,80,2.0,0.0,87.5,0.0,Venusaur,3,100,100,80,8.902246907382429,Grass,Poison,100.0,635f06c6d0384d8adc85ceb9
"['Thick Fat']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,100,27.0,625,45,123,1059860,Medium Slow,1.0,0.0,6.0,80,2.4,0.0,104.16666666666669,1.0,Mega Venusaur,3,122,120,80,18.747592438023133,Grass,Poison,155.5,635f06c6d0384d8adc85ceba
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,52,23.6,309,45,43,1059860,Medium Slow,0.0,0.0,1.0,39,0.6,0.0,51.5,0.0,Charmander,4,60,50,65,8.995369179009089,Fire,,8.5,635f06c6d0384d8adc85cebb
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.0,64,15.7,405,45,58,1059860,Medium Slow,0.0,0.0,1.0,58,1.1,0.0,67.5,0.0,Charmeleon,5,80,65,80,9.233092656309694,Fire,,19.0,635f06c6d0384d8adc85cebc
"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.0,84,31.3,534,45,78,1059860,Medium Slow,1.0,0.0,1.0,78,1.7,0.0,89.0,0.0,Charizard,6,109,85,100,11.575836902790224,Fire,Flying,90.5,635f06c6d0384d8adc85cebd
"['Drought']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.0,104,34.8,634,45,78,1059860,Medium Slow,1.0,0.0,6.0,78,1.7,0.0,105.66666666666669,1.0,Mega Charizard Y,6,159,115,100,27.378012264508094,Fire,Flying,100.5,635f06c6d0384d8adc85cebe
"['Tough Claws']",0.5,1.0,2.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,130,38.2,634,45,111,1059860,Medium Slow,1.0,0.0,6.0,78,1.7,0.0,105.66666666666669,1.0,Mega Charizard X,6,130,85,100,20.154955277107963,Fire,Dragon,110.5,635f06c6d0384d8adc85cebf
"['Rain Dish', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,48,36.0,314,45,65,1059860,Medium Slow,0.0,0.0,1.0,44,0.5,0.0,52.333333333333336,0.0,Squirtle,7,50,64,43,8.919392106839767,Water,,9.0,635f06c6d0384d8adc85cec0
"['Rain Dish', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,63,22.5,405,45,80,1059860,Medium Slow,0.0,0.0,1.0,59,1.0,0.0,67.5,0.0,Wartortle,8,65,80,58,9.142392101268316,Water,,22.5,635f06c6d0384d8adc85cec1
"['Rain Dish', 'Torrent']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,83,33.4,530,45,100,1059860,Medium Slow,1.0,0.0,1.0,79,1.6,0.0,88.33333333333333,0.0,Blastoise,9,85,105,78,10.386957633921922,Water,,85.5,635f06c6d0384d8adc85cec2
"['Mega Launcher']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,103,39.5,630,45,120,1059860,Medium Slow,1.0,0.0,6.0,79,1.6,0.0,105.0,1.0,Mega Blastoise,9,135,115,78,20.952326839756964,Water,,101.1,635f06c6d0384d8adc85cec3
"['Run Away', 'Shield Dust']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,30,32.2,195,255,35,1000000,Medium Fast,0.0,0.0,1.0,45,0.3,0.0,32.5,0.0,Caterpie,10,20,20,45,10.307764064044152,Bug,,2.9,635f06c6d0384d8adc85cec4
"['Shed Skin']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,20,20.2,205,120,55,1000000,Medium Fast,0.0,0.0,1.0,50,0.7,0.0,34.166666666666664,0.0,Metapod,11,25,25,30,13.359349618234496,Bug,,9.9,635f06c6d0384d8adc85cec5
"['Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,45,26.4,395,45,50,1000000,Medium Fast,1.0,0.0,1.0,60,1.1,0.0,65.83333333333333,0.0,Butterfree,12,90,80,70,15.920810978785664,Bug,Flying,32.0,635f06c6d0384d8adc85cec6
"['Run Away', 'Shield Dust']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,35,35.6,195,255,30,1000000,Medium Fast,0.0,0.0,1.0,40,0.3,0.0,32.5,0.0,Weedle,13,20,20,50,10.70436048222094,Bug,Poison,3.2,635f06c6d0384d8adc85cec7
"['Shed Skin']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,25,27.8,205,120,50,1000000,Medium Fast,0.0,0.0,1.0,45,0.6,0.0,34.166666666666664,0.0,Kakuna,14,25,25,35,10.172129679778084,Bug,Poison,10.0,635f06c6d0384d8adc85cec8
"['Sniper', 'Swarm']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,90,29.5,395,45,40,1000000,Medium Fast,1.0,0.0,1.0,65,1.0,0.0,65.83333333333333,0.0,Beedrill,15,45,80,75,18.12380264244296,Bug,Poison,29.5,635f06c6d0384d8adc85cec9
"['Adaptability']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,150,20.7,495,45,40,1000000,Medium Fast,1.0,0.0,6.0,65,1.4,0.0,82.5,1.0,Mega Beedrill,15,15,80,145,50.22864388639879,Bug,Poison,40.5,635f06c6d0384d8adc85ceca
"['Big Pecks', 'Keen Eye', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,45,20.0,251,255,40,1059860,Medium Slow,0.0,0.0,1.0,40,0.3,0.0,41.833333333333336,0.0,Pidgey,16,35,35,56,7.197607627229727,Normal,Flying,1.8,635f06c6d0384d8adc85cecb
"['Big Pecks', 'Keen Eye', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,60,24.8,349,120,55,1059860,Medium Slow,0.0,0.0,1.0,63,1.1,0.0,58.16666666666666,0.0,Pidgeotto,17,50,50,71,7.470311610338324,Normal,Flying,30.0,635f06c6d0384d8adc85cecc
